Characteristic,Cost in million GBP
Miscellaneous edible preparations,111
"Preparations of cereals, flours, starch or milk; pastrycooks' products",105
"Beverages, sprits and vinegar",99
"Fish and crustaceans, molluscs and other aquatic invertebrates",92
"Preparations of vegetables, fruit, nuts or other parts of plants",55
Meat and edible meat offal,54
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",51
"Preparations of meat, fish or crustaceans, molluscs or other aquatic invertebrates",47
Sugar and sugar confectionery,31
Cocoa and cocoa preparations,28
Cereals,22
Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,21
Edible vegetables and certain roots and tubers,18
Products of the milling industry; malt; starches; inulin; wheat gluten,16
"Edible fruit and nuts, peel of citrus fruits or melons",11
Residues and waste from the food industries; prepared animal fodder,5
"Coffee, tea, mate and spices",5
Live animals,4
