Characteristic,Year-round Athlete,Seasonal Athlete,Non-Athlete
2019,327337,18728,40273
2018,346735,24759,39637
2017,354627,25175,39154
2016,336026,23858,38375
2015,337084,25326,37399
2014,339903,27683,36521
2013,340568,29555,34480
2012,300884,30074,32013
2011,291182,30133,31154
2010,286900,33027,30554
2009,286147,34866,29557
2008,257180,33672,28447
2007,251547,35388,28695
2006,249326,35253,28416
2005,249182,36249,27847
2004,232361,36970,27314
2003,235013,37176,27652
2002,228216,37978,26322
2001,232253,37715,26151
2000,221352,39223,25732
