Characteristic,Dry storage space in million square feet
DHL Supply Chain,139.6
XPO Logistics Inc,101.0
Ryder Supply Chain  Solutions,64.0
NFI,53.0
Geodis,42.5
FedEx Logistics,30.7
Kenco Logistics Services,30.0
Penske Logistics,26.5
Saddle Creek Logistics Services,26.2
CJ Logistics North America,23.9
DB Schenker USA,23.7
Kuehne + Nagel North America,18.7
Ceva Logistics,18.1
UPS Supply Chain Solutions,17.3
DSV Panalpina,14.1
Performance Team,14.0
WSI,14.0
"Warehouse Services Inc,",14.0
Radial,13.4
Universal Logistics Holdings,12.2
