Characteristic,Gross domestic product in billion U.S. dollars
2026*,34.67
2025*,32.64
2024*,30.79
2023*,29.09
2022*,27.56
2021*,26.16
2020*,23.69
2019,24.92
2018,23.86
2017,23.14
2016,21.71
2015,20.98
2014,19.76
2013,18.5
2012,18.53
2011,17.65
2010,15.73
2009,14.49
2008,13.79
2007,12.28
2006,10.84
2005,9.67
2004,8.77
2003,8.14
2002,7.78
2001,7.57
2000,7.1
1999,6.42
1998,6.37
1997,5.74
1996,5.22
1995,5.42
1994,4.69
1993,4.79
1992,4.68
1991,4.2
1990,4.17
1989,7.07
1988,6.32
1987,5.68
1986,5.21
