Industry,FDI in billion Canadian dollars
Management of companies and enterprises,225.76
Manufacturing,207.81
Mining and oil and gas extraction,188.27
Finance and insurance,132.98
Wholesale trade,86.07
Retail trade,35.0
"Professional, scientific and technical services",19.65
Real estate and rental and leasing,15.51
Information and cultural industries,14.31
Transportation and warehousing,14.11
Utilities,9.76
Construction,5.38
Accommodation and food services,5.24
"Agriculture,forestry, fishing and hunting",0.74
All other industries,13.3
