Characteristic,Units sold
Dec 19,202
Nov 19,196
Oct 19,210
Sep 19,500
Aug 19,208
Jul 19,235
Jun 19,329
May 19,270
Apr 19,240
Mar 19,615
Feb 19,109
Jan 19,299
Dec 18,258
Nov 18,249
Oct 18,227
Sep 18,474
Aug 18,155
Jul 18,261
Jun 18,420
May 18,355
Apr 18,304
Mar 18,1004
Feb 18,177
Jan 18,277
Dec 17,304
Nov 17,391
Oct 17,293
Sep 17,841
Aug 17,143
Jul 17,324
Jun 17,448
May 17,269
Apr 17,265
Mar 17,1239
Feb 17,196
Jan 17,284
Dec 16,292
Nov 16,324
Oct 16,227
Sep 16,752
Aug 16,148
Jul 16,433
