Characteristic,Gross domestic product in billion U.S. dollars
2026*,0.65
2025*,0.63
2024*,0.6
2023*,0.57
2022*,0.54
2021*,0.51
2020*,0.51
2019,0.52
2018,0.49
2017,0.46
2016,0.42
2015,0.44
2014,0.44
2013,0.45
2012,0.47
2011,0.42
2010,0.37
2009,0.31
2008,0.34
2007,0.3
2006,0.29
2005,0.26
2004,0.23
2003,0.2
2002,0.18
2001,0.18
2000,0.2
1999,0.2
1998,0.21
1997,0.22
1996,0.22
1995,0.21
1994,0.19
1993,0.18
1992,0.18
1991,0.17
1990,0.14
1989,0.14
1988,0.12
1987,0.1
1986,0.09
