Characteristic,Inflation rate compared to previous year
2026*,2.9%
2025*,2.5%
2024*,2.1%
2023*,1.4%
2022*,1.06%
2021*,1.2%
2020*,0.72%
2019,2.1%
2018,2.22%
2017,1.63%
2016,-0.02%
2015,0.8%
2014,4.52%
2013,5.23%
2012,4.5%
2011,4.88%
2010,5.66%
2009,7.84%
2008,13.43%
2007,9.36%
2006,11.47%
2005,13.79%
2004,12.32%
2003,9.44%
2002,9.17%
2001,11.26%
2000,10.95%
1999,10.05%
1998,11.67%
1997,13.25%
1996,17.51%
1995,23.18%
1994,13.54%
1993,9.78%
1992,21.81%
1991,28.67%
1990,19.07%
1989,16.49%
1988,20.85%
1987,16.81%
1986,11.79%
