Characteristic,Area in square kilometers
Russia,17098242
Canada,9984670
USA,9833517
China,9596960
Brazil,8515770
Australia,7741220
India,3287263
Argentina,2780400
Kazakhstan,2724900
Algeria,2381741
Democratic Republic of Congo,2344858
Greenland,2166086
Saudi Arabia,2149690
Mexico,1964375
Indonesia,1904569
Sudan,1861484
Libya,1759540
Iran,1648195
Mongolia,1564116
Peru,1285216
Chad,1284000
Niger,1267000
Angola,1246700
Mali,1240192
South Africa,1219090
Colombia,1138910
Ethiopia,1104300
Bolivia,1098581
Mauritania,1030700
Egypt,1001450
