Characteristic,Expenditures in trillion U.S. dollars
Q3 '20,9.68
Q2 '20,10.91
Q1 '20,7.49
Q4 '19,7.39
Q3 '19,7.34
Q2 '19,7.26
Q1 '19,7.18
Q4 '18,7.07
Q3 '18,6.99
Q2 '18,6.91
Q1 '18,6.8
Q4 '17,6.7
Q3 '17,6.65
Q2 '17,6.54
Q1 '17,6.51
Q4 '16,6.46
Q3 '16,6.41
Q2 '16,6.32
Q1 '16,6.31
Q4 '15,6.25
Q3 '15,6.23
Q2 '15,6.06
Q1 '15,6.11
Q4 '14,6.07
Q3 '14,6.04
Q2 '14,5.98
Q1 '14,5.92
Q4 '13,5.87
Q3 '13,5.87
Q2 '13,5.85
Q1 '13,5.83
Q4 '12,5.9
Q3 '12,5.8
Q2 '12,5.83
Q1 '12,5.84
Q4 '11,5.87
Q3 '11,5.84
Q2 '11,5.92
Q1 '11,5.86
Q4 '10,5.84
Q3 '10,5.81
Q2 '10,5.86
Q1 '10,5.82
Q4 '09,5.71
Q3 '09,5.66
Q2 '09,5.68
Q1 '09,5.49
