Characteristic,Number of deaths
Diseases of the circulatory system,28195
Neoplasms,23453
Diseases of the respiratory system,6154
Mental and behavioural disorders,6510
Diseases of the nervous system,5685
External causes of morbidity and mortality (injuries and poisonings),4884
Diseases of the digestive system,2931
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3445
"Endocrine, nutritional and metabolic diseases",2737
Certain infectious and parasitic diseases,2110
Diseases of the genitourinary system,1362
Poisoning with medicine and narcotics,949
Diseases of the musculoskeletal system and connective tissue,456
"Congenital malformations, deformations and chromosomal abnormalities",261
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,302
Diseases of the skin and subcutaneous tissue,201
Certain conditions originating in the perinatal period,124
"Pregnancy, childbirth and the puerperium",4
Diseases of the ear and mastoid process,6
Diseases of the eye and adnexa,2
