Characteristic,Advertising revenue,Payments and other fees revenue
Q4'20,4703,90
Q3'20,4202,28
Q2'20,3312,29
Q1'20,3236,21
Q4'19,3642,23
Q3'19,3243,24
Q2'19,2985,27
Q1'19,2670,12
Q4'18,2742,17
Q3'18,2406,16
Q2'18,2297,19
Q1´18,2080,11
Q4'17,2048,11
Q3'17,1749,11
Q2'17,1558,11
Q1'17,1361,14
Q4'16,1337,12
Q3'16,1137,17
Q2'16,1009,16
Q1'16,849,13
Q4'15,833,15
Q3'15,694,15
Q2'15,605,18
Q1'15,524,18
Q4'14,531,23
Q3'14,469,23
Q2'14,408,23
Q1'14,333,21
Q4'13,318,23
Q3'13,255,23
Q2'13,225,22
Q1'13,176,21
