Characteristic,"Deaths per 1,000 live births"
Mississippi,9.07
Louisiana,8.07
Alabama,7.89
North Dakota,7.35
Oklahoma,7.08
Tennessee,7.06
Wyoming,7.0
Georgia,6.98
South Carolina,6.97
Ohio,6.97
Arkansas,6.9
North Carolina,6.8
South Dakota,6.68
Indiana,6.53
Michigan,6.33
West Virginia,6.31
Delaware,6.22
Missouri,6.1
Florida,6.01
Maryland,5.91
Wisconsin,5.85
Pennsylvania,5.85
Virginia,5.82
Rhode Island,5.8
Kansas,5.69
Nevada,5.63
New Mexico,5.61
Illinois,5.52
Texas,5.49
Arizona,5.24
Maine,5.23
Utah,5.13
Hawaii,5.06
Iowa,5.03
Kentucky,5.0
Nebraska,4.95
Alaska,4.81
Colorado,4.74
Oregon,4.69
Montana,4.63
Minnesota,4.47
Connecticut,4.42
Idaho,4.39
New Jersey,4.3
New York,4.26
Washington,4.14
California,4.06
Massachusetts,3.59
New Hampshire,3.07
