Characteristic,Independent expenditures,Total raised
Restore our Future (supports Romney),142.66,131.69
American Crossroads (Conservative),124.14,80.09
Priorities USA Action (supports Obama),77.71,63.9
Majority (Liberal),38.67,34.92
House Majority (Liberal),30.78,27.74
Freedomworks for America (Conservative),19.23,15.42
Club for Growth Action (Conservative),19.02,17.21
Winning our Future (supports Ginrich),17.0,23.92
Service Employees International Union (Liberal),16.44,13.42
Ending Spending Fund (Conservative),15.34,13.39
Congressional Leadership Fund (Conservative),9.62,10.8
Independence USA (Liberal),8.17,0.0
Women Vote! (Liberal),8.01,8.03
Now or Never,7.76,2.74
"Red, White and Blue (supports Santorum)",7.53,8.52
Planned Parenthood Votes (Liberal),7.14,5.77
AFL-CIO Workers' Voices (Liberal),5.9,15.46
Texas Conservatives Fund (Conservative),5.87,6.36
YG Action Fund (Conservative),5.79,5.93
National Assn of Realtors,5.1,2.83
Independence Virginia (Conservative),4.92,2.62
Freedom (Conservative),4.75,2.95
Endorse Liberty (supports Paul),4.32,3.8
Make Us Great Again (supports Perry),3.96,5.61
Florida Freedom (Liberal),3.32,5.9
Our Destiny (supports Huntsman),2.8,3.19
American Unity (Conservative),2.76,2.0
League of Conservation Voters (Liberal),2.7,2.07
FSA (Liberal),2.5,1.17
Treasure Coast Jobs Coalition (Conservative),2.44,2.16
