Characteristic,Gross domestic product in billion U.S. dollars
2026*,161.96
2025*,153.76
2024*,145.82
2023*,138.35
2022*,131.31
2021*,124.0
2020*,113.55
2019,119.7
2018,118.1
2017,109.68
2016,103.31
2015,101.18
2014,110.08
2013,106.83
2012,98.27
2011,101.37
2010,93.22
2009,92.9
2008,92.51
2007,79.04
2006,68.64
2005,62.34
2004,59.63
2003,52.06
2002,42.24
2001,39.46
2000,38.86
1999,41.63
1998,41.81
1997,39.15
1996,43.16
1995,39.03
1994,35.61
1993,31.66
1992,33.71
1991,32.29
1990,30.18
1989,26.71
1988,25.95
1987,21.91
1986,19.86
