Characteristic,"Hospital beds per 1,000 population"
2019,2.52
2018,2.55
2017,2.53
2016,2.6
2015,2.62
2014,2.67
2013,2.72
2012,2.79
2011,2.8
2010,2.78
2009,2.8
2008,2.85
2007,2.96
2006,3.02
2005,3.1
2004,3.44
2003,3.5
2002,3.64
2001,3.69
2000,3.77
1999,3.92
1998,4.38
1997,4.55
1996,4.57
1995,4.7
1993,5.41
1992,5.51
1991,5.76
1990,5.99
1989,6.34
1988,6.49
1987,6.61
1986,6.7
1985,6.75
1984,6.82
1983,6.84
1982,6.83
1981,6.86
1980,6.75
1979,6.79
1978,6.87
1977,6.88
1976,6.92
