Characteristic,GDP per capita in U.S. dollars
2026*,630.58
2025*,601.03
2024*,537.05
2023*,480.57
2022*,441.53
2021*,424.91
2020*,449.63
2019*,487.69
2018*,484.87
2017*,445.19
2016*,415.18
2015,570.13
2014,647.5
2013,641.09
2012,631.76
2011,574.87
2010,469.47
2009,518.47
2008,549.71
2007,471.13
2006,427.96
2005,405.14
2004,371.3
2003,314.69
2002,291.22
2001,282.67
2000,294.94
1999,333.09
1998,324.18
1997,294.18
1996,252.89
1995,185.17
1994,184.32
1993,178.03
1992,180.03
1991,266.63
1990,260.1
1989,164.18
1988,157.66
1987,179.06
1986,395.83
