Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",12.65
Government and government enterprises,8.95
Manufacturing,8.85
Professional and business services,8.05
"Educational services, health care, and social assistance",6.55
Retail trade,6.0
"Agriculture, forestry, fishing, and hunting",5.7
Wholesale trade,4.68
Construction,4.33
"Arts, entertainment, recreation, accommodation, and food services",2.15
Transportation and warehousing,1.76
Information,1.74
Utilities,1.31
"Mining, quarrying, and oil and gas extraction",0.22
