Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",214.63
Professional and business services,129.55
Government and government enterprises,98.36
"Educational services, health care, and social assistance",89.88
Retail trade,73.92
Wholesale trade,65.11
"Arts, entertainment, recreation, accommodation, and food services",42.11
Manufacturing,54.07
Information,47.96
Construction,45.1
Transportation and warehousing,28.96
Utilities,17.18
"Agriculture, forestry, fishing, and hunting",8.81
"Mining, quarrying, and oil and gas extraction",1.44
