Entity,Major role,Minor role,No role
Keeping country safe from terrorism,94.0,nan,nan
Responding to natural disasters,88.0,10.0,nan
Ensuring safe food and medicine,87.0,10.0,nan
Managing U.S immigration system,81.0,15.0,nan
Maintaining infrastructure,76.0,20.0,nan
Protecting the environment,75.0,22.0,0.0
Strengthening the economy,74.0,20.0,0.0
Ensuring a coess to high quality educ,70.0,25.0,0.0
Ensuring basic income for 65+,69.0,25.0,0.0
Setting workplace sta ndards,66.0,30.0,nan
Ensuring a ccess to health care,61.0,28.0,10.0
Helping people getout of poverty,55.0,38.0,0.0
Adva noing space exploration,nan,39.0,nan
