Characteristic,Exports in billion U.S. dollars
2020,1431.64
2019,1645.53
2018,1665.99
2017,1546.47
2016,1451.46
2015,1503.33
2014,1621.87
2013,1578.52
2012,1545.82
2011,1482.51
2010,1278.49
2009,1056.04
2008,1287.44
2007,1148.2
2006,1025.97
2005,901.08
2004,814.87
2003,724.77
2002,693.1
2001,729.1
2000,781.92
1999,695.8
1998,682.14
1997,689.18
1996,625.07
1995,584.74
1994,512.63
1993,465.09
1992,448.16
1991,421.73
1990,393.59
1989,363.81
1988,322.43
1987,254.12
