Retail channel,2013,2018*
"Hypermarkets, supermarkets and hard discounters",33.9%,34%
Food & beverage specialists and c-stores,16.6%,16.1%
Home improvement and gardening supplies retailers,8.2%,7.2%
"Clothing, footwear, accessories and luxury goods specialists",8%,8.1%
Furniture and homewares retailers,6.1%,5.9%
Electricals and electronics specialists,5.7%,5.6%
Online,5.5%,8.1%
Department stores,4.1%,3.7%
Others,3.3%,3.3%
Other specialist retailers,2.3%,2.1%
Drugstores and health and beauty stores,2.3%,2.3%
"Music, video, book, stationery and games specialists",2.1%,1.7%
"Value, variety stores and general merchandise retailers",1.8%,1.9%
