Characteristic,Complaints opened,Complaints closed
Lloyds Bank PLC,190392,227598
Bank of Scotland plc,189305,248729
Santander Cards UK Limited,122701,140948
AXA France IARD,117951,203913
Clydesdale Bank Plc,76778,59435
British Gas Services Limited,69665,90466
Aviva Insurance Limited,69164,72522
Black Horse Limited,67896,60518
HSBC UK Bank Plc,59925,93644
Nationwide Building Society,40287,35803
Tesco Personal Finance PLC,37129,36554
AXA PP Healthcare Limited,35861,35831
Capital One (Europe) plc,35034,89503
UK insurance Limited,34956,34921
The Carphone Warehouse Ltd,28627,46899
