Characteristic,Amount contributed in U.S. dollars
University of California,739097
Alphabet Inc,673636
EMILY's List,497399
Morgan & Morgan,415209
Harvard University,415161
Stanford University,375092
Morgan Stanley,345705
Time Warner,338247
JPMorgan Chase & Co,328557
US Government,325775
DISH Network,325722
"Akin, Gump et al",321605
US Dept of State,319247
"Paul, Weiss et al",319234
Microsoft Corp,310095
"Skadden, Arps et al",300552
DLA Piper,288137
Kirkland & Ellis,283838
Columbia University,270946
Comcast Corp,269032
