Characteristic,Advertising,Data licensing and other
Q1 '21,899.0,137.0
Q4 '20,1155.0,125.0
Q3 '20,808.45,123.0
Q2 '20,561.99,121.44
Q1 '20,682.19,125.45
Q4 '19,884.55,122.8
Q3 '19,702.26,121.46
Q2 '19,727.12,114.26
Q1 '19,679.47,107.42
Q4 '18,791.37,117.47
Q3 '18,649.82,108.3
Q2 '18,601.06,109.48
Q1 '18,575.16,89.72
Q4 '17,644.26,87.3
Q3 '17,502.8,86.83
Q2 '17,489.15,84.71
Q1 '17,473.78,74.47
Q4 '16,637.82,79.39
Q3 '16,544.97,70.97
Q2 '16,534.52,67.43
Q1 '16,530.74,63.78
Q4 '15,640.68,69.79
Q3 '15,512.87,56.37
Q2 '15,452.28,50.11
Q1 '15,388.21,47.73
Q4 '14,432.0,47.08
Q3 '14,320.2,41.07
Q2 '14,277.44,34.73
Q1 '14,226.05,24.44
Q4 '13,219.68,23.0
Q3 '13,153.44,15.14
Q2 '13,120.97,18.32
Q1 '13,100.46,13.88
