Characteristic,Market capitalization in million euros
Mar 2021,12620.09
Feb 2021,13241.23
Jan 2021,12135.0
Dec 2020,12975.61
Nov 2020,10636.8
Oct 2020,8835.18
Sep 2020,9020.04
Aug 2020,8437.84
Jul 2020,8470.7
Jun 2020,8863.0
May 2020,8708.59
Apr 2020,8882.87
Mar 2020,8647.83
Feb 2020,9015.84
Jan 2020,10134.8
Dec 2019,10365.26
Nov 2019,10342.81
Oct 2019,8910.86
Sep 2019,8454.11
Aug 2019,8835.34
Jul 2019,9583.45
Jun 2019,9690.32
May 2019,8462.74
Apr 2019,9443.63
Mar 2019,9183.61
Feb 2019,8638.12
Jan 2019,8378.63
Dec 2018,7353.85
Nov 2018,7376.63
Oct 2018,7882.23
Sep 2018,9590.15
Aug 2018,9959.7
Jul 2018,9583.45
Jun 2018,9950.18
May 2018,10030.43
Apr 2018,9549.23
Mar 2018,7863.82
Feb 2018,7320.71
Jan 2018,6771.44
Dec 2017,6681.13
Nov 2017,5883.52
Oct 2017,6198.56
Sep 2017,6207.28
Aug 2017,6057.71
Jul 2017,5751.88
