Characteristic,Gross domestic product in billion U.S. dollars
2026*,60.38
2025*,54.72
2024*,49.73
2023*,46.07
2022*,44.83
2021*,41.27
2020*,37.61
2019,37.79
2018,34.1
2017,31.38
2016,29.56
2015,27.32
2014,33.12
2013,32.33
2012,30.94
2011,27.5
2010,24.68
2009,24.11
2008,22.42
2007,17.51
2006,14.08
2005,12.46
2004,70.75
2003,8.73
2002,8.43
2001,7.84
2000,7.76
1999,7.82
1998,8.23
1997,8.41
1996,7.71
1995,7.47
1994,6.24
1993,4.31
1992,3.65
1991,3.9
1990,7.45
1989,9.14
1988,11.27
1987,10.88
1986,6.75
