Characteristic,Number of tests
Week 50,708088
Week 49,558283
Week 48,513247
Week 47,517286
Week 46,511489
Week 45,481560
Week 44,454374
Week 43,344318
Week 42,244038
Week 41,302300
Week 40,312796
Week 39,356149
Week 38,358521
Week 37,336399
Week 36,259099
Week 35,246662
Week 34,245946
Week 33,219477
Week 32,173066
Week 31,134662
Week 30,109656
Week 29,104242
Week 28,99190
Week 27,104583
Week 26,115509
Week 25,114721
Week 24,97234
Week 23,76382
Week 22,90141
Week 21,84405
Week 20,87836
Week 19,87105
Week 18,102334
Week 17,79552
Week 16,28917
Week 15,28445
Week 14,29464
Week 13,10570
Week 12,7658
Week 11,5077
Week 10,998
Week 9,491
Week 8,12
Week 7,4
Week 6,5
Week 5,3
