Characteristic,Helsinki,Sodankylä
Apr 21,4.6,0.5
Mar 21,-0.2,-5.5
Feb 21,-6.7,-13.6
Jan 21,-3.4,-14.3
Dec 20,1.9,-5.4
Nov 20,5.7,-1.3
Oct 20,9.4,2.3
Sep 20,13.6,7.5
Aug 20,16.9,12.8
Jul 20,16.2,14.5
Jun 20,17.4,15.1
May 20,9.0,4.7
Apr 20,4.8,-2.0
Mar 20,2.2,-5.7
Feb 20,1.4,-9.2
Jan 20,3.1,-9.5
Dec 19,2.6,-5.7
Nov 19,3.0,-8.6
Oct 19,6.4,-2.6
Sep 19,12.3,7.0
Aug 19,17.0,12.0
Jul 19,17.1,13.3
Jun 19,16.6,12.2
May 19,9.7,5.2
Apr 19,5.9,1.6
Mar 19,0.2,-7.3
Feb 19,0.2,-11.8
Jan 19,-4.5,-16.6
