Characteristic,Average player salary in million U.S. dollars
Minnesota Wild,3.32
Pittsburgh Penguins,3.28
St Louis Blues,3.19
Nashville Predators,3.16
Vegas Golden Knights,3.12
Colorado Avalanche,3.09
Buffalo Sabres,3.07
Winnipeg Jets,3.06
Florida Panthers,3.06
Calgary Flames,3.05
New Jersey Devils,2.97
Columbus Blue Jackets,2.92
Carolina Hurricanes,2.91
Anaheim Ducks,2.83
Philadelphia Flyers,2.82
Arizona Coyotes,2.76
Dallas Stars,2.71
Detroit Red Wings,2.67
New York Islanders,2.64
Chicago Blackhawks,2.52
Tampa Bay Lightning,2.47
New York Rangers,2.42
Edmonton Oilers,2.41
Washington Capitals,2.4
Boston Bruins,2.38
San Jose Sharks,2.37
Los Angeles Kings,2.33
Ottawa Senators,2.16
Montreal Canadiens,2.09
Vancouver Canucks,2.02
Toronto Maple Leafs,1.54
