Characteristic,Import value in thousand euros
Austria,163473
United States of America,149279
France,94032
Germany,71820
Italy,71654
Switzerland,60995
Canada,45372
Czech Republic,32129
Norway,32102
Russian Federation,26742
Sweden,23399
Japan,22473
Netherlands,15062
Spain,13237
Finland,12173
Poland,10766
United Kingdom,7238
Australia,6534
Belgium,6275
China,5154
Slovakia,4925
"Korea, Republic of",4391
Romania,3812
Andorra,3711
Slovenia,3631
Denmark,2953
Ukraine,2469
New Zealand,2389
