Characteristic,Number of persons
Democratic Republic of Congo,12958
Burma,4932
Ukraine,4451
Eritrea,1757
Afghanistan,1198
Syria,563
Iraq,465
Sudan,382
El Salvador,311
Colombia,298
Pakistan,264
Ethiopia,247
Central African Republic,244
Somalia,231
Iran,199
Burundi,196
Russia,184
Moldova,120
Guatemala,118
Belarus,96
Vietnam,94
Rwanda,91
Honduras,74
Ivory Coast,62
Kyrgyzstan,46
Republic of South Sudan,42
Armenia,33
Bhutan,32
Palestine,30
Cameroon,28
Georgia,26
Uganda,24
Other countries*,167
