Characteristic,Turnover in million euros
United Kingdom,82186.6
France,69266.6
Germany,61656.8
Italy,57073.6
Spain,44504.1
Netherlands,18653.5
Belgium,13265.1
Sweden,11382.5
Austria,10407.0
Portugal,8733.0
Ireland,7739.4
Poland,6440.8
Denmark,5871.3
Finland,5297.8
Greece,5236.8
Czech Republic,4778.4
Romania,3077.1
Hungary,2986.6
Croatia,1893.5
Slovakia,1503.2
Bulgaria,1427.5
Luxembourg,1275.6
Slovenia,1254.1
Cyprus,1178.2
Lithuania,724.7
Estonia,609.2
Latvia,608.5
Malta,449.5
