Week starting date,Expenditure in million U.S. dollars
"Nov 5, 2012",1.35
"Oct 29, 2012",97.8
"Oct 22, 2012",76.5
"Oct 15, 2012",53.4
"Oct 8, 2012",34.3
"Oct 1, 2012",33.0
"Sep 24, 2012",17.3
"Sep 17, 2012",29.0
"Sep 10, 2012",10.03
"Sep 03, 2012",8.8
"Aug 27, 2012",3.29
"Aug 20, 2012",15.7
"Aug 13, 2012",13.47
"Aug 6, 2012",4.31
"Jul 30, 2012",14.16
"Jul 23, 2012",11.0
"Jul 16, 2012",4.54
"Jul 9, 2012",3.31
"Jul 2, 2012",0.85
"Jun 25, 2012",6.31
"Jun 18, 2012",8.93
"Jun 11, 2012",1.39
"Jun 4, 2012",4.33
"May 28, 2012",1.57
"May 21, 2012",2.07
"May 14, 2012",8.15
"May 7, 2012",5.15
"Apr 30, 2012",4.14
"Apr 23, 2012",3.24
"Apr 16, 2012",1.28
"Apr 9, 2012",2.88
"Apr 2, 2012",0.76
"Mar 26, 2012",3.66
"Mar 19, 2012",1.83
"Mar 12, 2012",3.68
"Mar 05, 2012",4.54
"Feb 27, 2012",11.2
"Feb 20, 2012",7.61
"Feb 13, 2012",4.54
"Feb 06, 2012",0.4
"Jan 30, 2012",1.23
"Jan 23, 2012",12.2
"Jan 16, 2012",4.84
"Jan 09, 2012",10.7
"Jan 02, 2012",1.91
"Dec 26, 2011",4.14
"Dec 19, 2011",1.66
"Dec 12, 2011",2.71
