Characteristic,Share of shipments
Q4 '20,8.4%
Q3 '20,14.7%
Q2 '20,20%
Q1 '20,17.8%
Q4 '19,15.2%
Q3 '19,18.6%
Q2 '19,17.6%
Q1 '19,19%
Q4 '18,16.1%
Q3 '18,14.6%
Q2 '18,15.9%
Q1 '18,11.8%
Q4 '17,10.2%
Q3 '17,10.4%
Q2 '17,11%
Q1 '17,10%
Q4 '16,10.5%
Q3 '16,9.3%
Q2 '16,9.4%
Q1 '16,8.4%
Q4 '15,8.2%
Q3 '15,7.6%
Q2 '15,8.6%
Q1 '15,5.2%
Q4 '14,6.3%
Q3 '14,5%
Q2 '14,6.9%
Q1 '14,4.9%
Q4 '13,5.8%
Q3 '13,4.8%
Q2 '13,4.3%
Q1 '13,4.3%
Q4 '12,4.6%
Q3 '12,3.8%
Q2 '12,4.1%
Q1 '12,3.3%
