Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",115.66
Manufacturing,101.29
Professional and business services,73.89
Government and government enterprises,61.12
"Educational services, health care, and social assistance",56.51
Retail trade,36.91
Wholesale trade,35.76
"Arts, entertainment, recreation, accommodation, and food services",14.78
Construction,19.76
Information,19.94
"Mining, quarrying, and oil and gas extraction",17.65
Transportation and warehousing,16.4
Utilities,9.8
"Agriculture, forestry, fishing, and hunting",5.08
