Characteristic,Inflation rate compared to previous year
2026*,4.02%
2025*,4.01%
2024*,4.01%
2023*,3.91%
2022*,4.07%
2021*,4.89%
2020,6.2%
2019,4.76%
2018,3.43%
2017,3.6%
2016,4.5%
2015,4.9%
2014,5.8%
2013,9.4%
2012,10%
2011,9.5%
2010,10.53%
2009,12.31%
2008,9.09%
2007,6.2%
2006,6.7%
2005,4.4%
2004,3.82%
2003,3.86%
2002,3.98%
2001,4.31%
2000,3.83%
1999,5.7%
1998,13.13%
1997,6.84%
1996,9.43%
1995,9.96%
1994,10.28%
1993,7.28%
1992,9.86%
1991,13.48%
1990,11.2%
1989,4.57%
1988,7.21%
1987,9.06%
1986,8.89%
