Characteristic,Gross domestic product in billion U.S. dollars
2026*,74.83
2025*,70.36
2024*,66.06
2023*,61.68
2022*,58.17
2021*,55.09
2020*,49.08
2019,50.42
2018,47.1
2017,37.62
2016,36.64
2015,37.92
2014,35.91
2013,32.68
2012,29.32
2011,25.84
2010,21.57
2009,18.7
2008,19.71
2007,16.74
2006,14.38
2005,12.07
2004,10.28
2003,9.02
2002,8.72
2001,7.25
2000,19.08
1999,19.15
1998,21.09
1997,28.82
1996,32.1
1995,25.02
1994,25.75
1993,47.45
1992,36.33
1991,40.25
1990,41.45
1989,40.01
1988,39.31
1987,33.93
1986,35.84
