Characteristic,Inflation rate compared to previous year
2026*,2.02%
2025*,2.02%
2024*,2.02%
2023*,1.96%
2022*,1.97%
2021*,2.72%
2020,3.44%
2019,-2.09%
2018,2.45%
2017,-0.81%
2016,2.05%
2015,1.22%
2014,2.2%
2013,3.52%
2012,2.88%
2011,3.76%
2010,3.78%
2009,4.18%
2008,6.08%
2007,5.06%
2006,1.9%
2005,0.55%
2004,0.27%
2003,0.55%
2002,0.14%
2001,-1.22%
2000,-1.08%
1999,-2.11%
1998,-0.39%
1997,-0.26%
1996,0.26%
1995,5.25%
1994,1.26%
1993,1.28%
1992,-0.98%
1991,3.79%
1990,-1.01%
1989,1.17%
1988,-0.35%
1987,-2.39%
1986,-3.12%
