Characteristic,Inflation rate compared to previous year
2026*,1%
2025*,1%
2024*,1.05%
2023*,1.2%
2022*,1.4%
2021*,1.1%
2020*,0.21%
2019,0.07%
2018,1.09%
2017,1.01%
2016,0.6%
2015,-0.73%
2014,1.14%
2013,0.76%
2012,1.73%
2011,5.13%
2010,1.18%
2009,0.54%
2008,7.26%
2007,4.58%
2006,4.04%
2005,4.69%
2004,4.45%
2003,2.12%
2002,1.87%
2001,3.75%
2000,2.27%
1999,0.51%
1998,2.55%
1997,4.49%
1996,9.79%
1995,10.03%
1994,10.58%
1993,18.51%
1992,11.22%
1991,14.41%
1990,28.29%
1989,17.65%
1988,19.77%
1987,24.85%
1986,31.95%
