Characteristic,Gross domestic product in billion U.S. dollars
2026*,0.68
2025*,0.66
2024*,0.63
2023*,0.6
2022*,0.57
2021*,0.52
2020*,0.52
2019*,0.58
2018,0.53
2017,0.52
2016,0.58
2015,0.54
2014,0.52
2013,0.5
2012,0.49
2011,0.5
2010,0.49
2009,0.49
2008,0.46
2007,0.42
2006,0.39
2005,0.36
2004,0.37
2003,0.34
2002,0.33
2001,0.34
2000,0.33
1999,0.33
1998,0.32
1997,0.3
1996,0.29
1995,0.28
1994,0.26
1993,0.25
1992,0.23
1991,0.22
1990,0.2
1989,0.19
1988,0.17
1987,0.15
1986,0.14
