Characteristic,GDP in billion U.S. dollars
2026*,255.83
2025*,247.92
2024*,240.07
2023*,232.68
2022*,224.82
2021*,209.86
2020,189.26
2019,205.35
2018,212.35
2017,200.06
2016,192.81
2015,196.69
2014,237.41
2013,239.93
2012,245.81
2011,288.12
2010,299.9
2009,330.95
2008,355.87
2007,318.94
2006,273.56
2005,248.01
2004,240.85
2003,202.32
2002,154.46
2001,136.31
2000,132.2
1999,149.41
1998,144.64
1997,143.33
1996,145.87
1995,136.94
1994,116.68
1993,109.02
1992,116.47
1991,105.63
1990,97.96
1989,79.25
1988,74.45
1987,65.68
1986,56.42
