Characteristic,Gross domestic product in billion U.S. dollars
2026*,26.84
2025*,24.86
2024*,22.93
2023*,21.05
2022*,18.53
2021*,15.9
2020*,13.7
2019,12.91
2018,12.85
2017,11.19
2016,10.35
2015,9.69
2014,10.87
2013,10.23
2012,9.43
2011,8.77
2010,7.86
2009,7.34
2008,7.3
2007,5.73
2006,4.76
2005,4.39
2004,3.76
2003,3.39
2002,2.78
2001,2.45
2000,2.24
1999,2.54
1998,2.65
1997,2.29
1996,2.41
1995,2.3
1994,1.94
1993,3.05
1992,3.39
1991,3.29
1990,3.51
1989,3.09
1988,3.23
1987,3.16
1986,2.7
