Characteristic,Turnover in million SEK
Husqvarna AB,42277
Liljedahl Group AB,12464
"Fagerhult, AB",7844
ITAB Shop Concept AB,6064
Nefab Holding AB,4855
Holmgren Group AB,4517
Bufab AB (publ),4348
OBOS Sverige AB,3422
OEM International AB,3297
Sydved AB,3246
Atteviks Bil AB,2746
Jönköpings Rådhus AB,2719
Weland Holding AB,2447
Hydro Extrusion Sweden AB,2364
KABE Group AB,2358
XANO Industri AB,2128
Skobes Bil AB,1954
DS Smith Packaging Sweden AB,1896
Attends Healthcare AB,1857
Sandahlsbolagen Sweden AB,1802
