Characteristic,Percentage dividend yield
Enagas SA,8.9%
Mapfre SA,7.54%
ACS SA,7.47%
Telefónica SA,7.18%
Naturgy SA,7%
REE SA,6.16%
Endesa SA,5.63%
Repsol SA,5.49%
Merlin Prop SA,4.5%
Acerinox SA,4.28%
Santander SA,4.01%
Iberdrola SA,3.81%
Caixabank SA,3.51%
BBVA SA,3.51%
Bankinter SA,3.31%
Viscofan SA,3.07%
Inditex SA,2.89%
Accciona SA,2.86%
CIE Automotive SA,2.64%
Immobiliaria Colonial SA,2.43%
Ferrovial SA,2.11%
Indra SA,1.6%
Grifols SA,1.55%
Almirall,1.36%
Fluidra,1.33%
Sabadell SA,1.12%
Cellnex Telecom SA,0.13%
Melia Hotels INTL SA,0%
Siemens Gamesa SA,0%
Arcelormittal SA,0%
Amadeus IT Group SA,0%
Pharma Mar,0%
AENA SA,0%
Solaria,0%
IAG (Iberia) SA,0%
