Characteristic,Number of monthly active users (MAU) in millions
Q1 2021,423
Q4 2020,419
Q3 2020,413
Q2 2020,410
Q1 2020,406
Q4 2019,394
Q3 2019,387
Q2 2019,385
Q1 2019,384
Q4 2018,381
Q3 2018,375
Q2 2018,376
Q1 2018,377
Q4 2017,370
Q3 2017,364
Q2 2017,360
Q1 2017,354
Q4 2016,349
Q3 2016,342
Q2 2016,338
Q1 2016,333
Q4 2015,323
Q3 2015,315
Q2 2015,311
Q1 2015,307
Q4 2014,301
Q3 2014,296
Q2 2014,292
Q1 2014,289
Q4 2013,282
Q3 2013,276
Q2 2013,272
Q1 2013,269
Q4 2012,261
