Characteristic,Gross domestic product in billion U.S. dollars
2026*,567.26
2025*,517.27
2024*,471.42
2023*,428.12
2022*,389.75
2021*,354.87
2020*,340.82
2019,329.54
2018,304.02
2017,277.07
2016,252.15
2015,236.84
2014,232.89
2013,212.74
2012,195.17
2011,171.37
2010,143.26
2009,129.05
2008,124.77
2007,98.43
2006,84.3
2005,73.2
2004,62.88
2003,50.23
2002,44.56
2001,41.3
2000,39.59
1999,36.44
1998,34.58
1997,34.15
1996,31.35
1995,26.41
1994,20.71
1993,16.74
1992,12.53
1991,9.7
1990,8.22
1989,7.99
1988,29.5
1987,53.39
1986,43.01
