Characteristic,Number of Tour participations
George Hincapie (US)*,17
Jens Voigt (Germany),17
Stuart O'Grady (Australia),17
Sylvain Chavanel (France),17
Haimar Zubeldia (Spain),16
Joop Zoetemelk (The Netherlands),16
Vjatceslav Ekimov (Russia),15
Thomas Voeckler (France),15
Guy Nulens (Belgium),15
Lucien Van Impe (Belgium),15
Christophe Moreau (France),15
André Darrigade (France),14
Erik Zabel (Germany),14
Lance Armstrong (US)**,14
Jérome Pineau (France),14
Sean Kelly (Ireland),14
Raymond Poulidor (France),14
Joachim Agostinho (Portugal),13
Jean-Pierre Genet (France),13
François Mahé (France),13
Jean Dotto (France),13
Marc Wauters (Belgium),13
Didier Rous (France),13
Gerrie Knetemann (The Netherlands),13
Phil Anderson (Australia),13
Henk Lubberding (The Netherlands),13
G. Duclos-Lassalle (France),13
