Characteristic,Gross domestic product in billion U.S. dollars
2026*,11.38
2025*,10.78
2024*,10.34
2023*,9.93
2022*,9.6
2021*,9.27
2020*,8.49
2019,7.66
2018,6.91
2017,6.23
2016,5.49
2015,6.4
2014,6.06
2013,5.43
2012,5.98
2011,7.98
2010,6.96
2009,6.2
2008,5.32
2007,4.43
2006,4.0
2005,3.66
2004,3.48
2003,3.21
2002,3.5
2001,2.97
2000,3.02
1999,3.08
1998,3.04
1997,4.62
1996,3.96
1995,2.42
1994,2.08
1993,3.59
1992,3.12
1991,3.82
1990,3.0
1989,2.64
1988,2.31
1987,2.01
1986,2.05
