Characteristic,Number of casualties
Pakistan,1370
Yemen,175
Uzbekistan,138
“Pashtun”,136
“Arab”,119
Afghanistan,90
“Foreign”,86
“Central Asia”,73
Egypt,29
Saudi Arabia,28
US,10
Libya,8
UK,8
Germany,7
Turkey,6
Kuwait,6
Iraq,6
Somalia,6
Kenya,5
“Western”,4
China,4
Jordan,4
Syria,4
“Africa”,3
Tajikistan,3
Algeria,3
Australia,3
Spain,2
Iran,2
Canada,2
Morocco,2
Tunisia,1
Sudan,1
Belgium or Swiss,1
Palestine,1
Lebanon,1
Russia (Chechen),1
Bahrain,1
Italy,1
Unknown,537
