Characteristic,Share of people in poverty
Sokoto,87.73%
Taraba,87.72%
Jigawa,87.02%
Ebonyi,79.76%
Adamawa,75.41%
Zamfara,73.98%
Yobe,72.34%
Niger,66.11%
Gombe,62.31%
Bauchi,61.53%
Enugu,58.13%
Nasarawa,57.3%
Katsina,56.42%
Kano,55.1%
Plateau,55.1%
Kebbi,50.2%
Kaduna,43.5%
Federal Capital Territory,38.7%
Cross River,36.3%
Benue,32.9%
Abia,30.7%
Imo,28.9%
Kogi,28.5%
Ekiti,28%
Akwa Ibom,26.8%
Rivers,23.9%
Bayelsa,22.6%
Kwara,20.4%
Anambra,14.8%
Ondo,12.5%
Edo,12%
Oyo,9.8%
Ogun,9.3%
Osun,8.5%
Delta,6%
Lagos,4.5%
