Characteristic,Mobile reach
Amazon (main),80.64%
Walmart (main),46.08%
eBay (main),33.28%
Ibotta,25.2%
Target (main),24.31%
Groupon (main),18.75%
Etsy,17.21%
The Home Depot,16.13%
Wish (main),14.81%
Best Buy (main),14.01%
shopkick,12.72%
KOHL's,12.47%
Walgreens (main),12.34%
Ticketmaster,10.79%
Domino's,9.85%
Wayfair,9.76%
Macy's (main),9.66%
Coupons.com,9.53%
Lowe's,9.31%
Kroger,9.18%
Craigslist,9.14%
Ebates Cash Back & Coupons,8.26%
Fetch Rewards App,7.49%
DoorDash - Food Delivery,7.41%
RetailMeNot,7.3%
Sam's Club (main),7.07%
Checkout 51,6.98%
QVC,6.89%
Poshmark,6.83%
Costco,6.6%
