Characteristic,Export volume in billion U.S. dollars
2020,255.4
2019,292.63
2018,299.73
2017,282.77
2016,266.73
2015,280.86
2014,312.82
2013,300.75
2012,292.65
2011,281.29
2010,249.26
2009,204.66
2008,261.15
2007,248.89
2006,230.66
2005,211.9
2004,189.88
2003,169.92
2002,160.92
2001,163.42
2000,178.94
1999,166.6
1998,156.6
1997,151.77
1996,134.21
1995,127.23
1994,114.44
1993,100.44
1992,90.59
1991,85.15
1990,83.67
1989,78.81
1988,71.62
1987,59.81
1986,45.33
1985,47.25
