Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,83.3
"Finance, insurance, real estate, rental, and leasing",78.8
Professional and business services,62.37
Government and government enterprises,45.05
"Educational services, health care, and social assistance",41.87
Wholesale trade,29.11
Retail trade,29.35
Construction,16.33
"Arts, entertainment, recreation, accommodation, and food services",10.61
Information,15.17
Transportation and warehousing,11.29
Other services (except government and government enterprises),8.54
Utilities,9.01
"Agriculture, forestry, fishing, and hunting",4.43
"Mining, quarrying, and oil and gas extraction",2.12
