Commodity category,Import value in billion U.S. dollars
"Passenger cars, new and used",175.09
Pharmaceutical preparations,149.09
Crude oil,126.56
Other parts and accessories of vehicles,111.27
"Cell phones and other household goods, n.e.c.",108.07
"U.S. goods returned, and reimports",86.4
Computers,77.85
"Industrial machines, other",62.71
Telecommunications equipment,62.49
Electric apparatus,55.93
Semiconductors,54.37
"Apparel, textiles, nonwool or cotton",53.81
Computer accessories,53.16
"Trucks, buses, and special purpose vehicles",46.47
Medicinal equipment,45.64
"Apparel, household goods - cotton",44.44
"Petroleum products, other",38.56
"Furniture, household goods, etc.",37.65
"Industrial supplies, other",37.42
"Toys, games, and sporting goods",37.37
Household appliances,29.88
"Engines and engine parts (carburetors, pistons, rings, and valves)",29.17
Engines-civilian aircraft,28.55
Industrial engines,27.2
Chemicals-organic,26.97
