Characteristic,Assets in billions of euros
Bernard Arnault,66.9
Françoise Bettencourt Meyers,43.4
François Pinault,26.1
"Famille Dassault (Olivier, Laurent, Thierry et Marie Hélène Dassault)",21.1
Alain Wertheimer,12.8
Gérard Wertheimer,12.8
Emmanuel Besnier,12.6
Rodolphe Saadé,9.2
Patrick Drahi,6.8
Carrie Perrodo,5.0
Pierre Bellon,4.7
Vincent Bolloré,4.5
Jean-Michel Besnier,4.4
Alain Mérieux,4.4
Marie Besnier Beauvalot,4.4
Michel Leclercq,4.2
Marc Ladreit de Lacharriere,3.7
Xanier Niel,3.6
Martin et Olivier Bouygues,3.2
Nicolas Puech,2.9
Jean-Pierre Cayard,2.8
Anne Beaufour,2.5
Henri Beaufour,2.5
Mohed Altrad,2.4
Charles Edelstrenne,2.3
