Characteristic,Gross domestic product in billion U.S. dollars
2026*,1.04
2025*,0.99
2024*,0.95
2023*,0.9
2022*,0.85
2021*,0.8
2020*,0.79
2019,0.83
2018,0.81
2017,0.79
2016,0.77
2015,0.76
2014,0.73
2013,0.72
2012,0.69
2011,0.68
2010,0.68
2009,0.68
2008,0.7
2007,0.68
2006,0.61
2005,0.55
2004,0.52
2003,0.48
2002,0.46
2001,0.43
2000,0.4
1999,0.39
1998,0.37
1997,0.35
1996,0.33
1995,0.32
1994,0.29
1993,0.29
1992,0.28
1991,0.26
1990,0.24
1989,0.22
1988,0.2
1987,0.18
1986,0.16
