Characteristic,Total worldwide box office revenue,Average revenue of series,Highest grossing film in series
Marvel Cinematic Universe,22.56,0.98,2.8
Star Wars,10.32,0.86,2.07
James Bond,7.12,0.84,1.34
Batman,6.04,1.94,2.8
Harry Potter,9.22,0.72,1.28
Spider-Man,7.22,0.28,1.11
X-Men,6.08,0.5,0.8
Avengers,7.75,0.43,1.08
Jurassic Park,5.0,0.66,1.52
Star Trek,2.27,0.84,1.14
Peter Jackson's Lord of the Rings,5.85,0.68,1.15
DC Extended Universe,5.47,1.0,1.67
Indiana Jones,1.96,0.69,1.12
Superman,2.55,0.9,1.07
Fast and the Furious,5.9,0.93,1.16
Shrek,3.55,0.59,0.79
Rocky,1.51,0.71,0.94
Pirates of the Caribbean,4.52,0.55,0.83
Transformers,4.85,0.64,0.88
Toy Story,3.05,0.61,1.07
