Characteristic,Percentage of SMEs
Q4 2020,37%
Q3 2020,33%
Q2 2020,19%
Q1 2020,51%
Q4 2019,56%
Q3 2019,58%
Q2 2019,44%
Q1 2019,52%
Q4 2018,45%
Q3 2018,52%
Q2 2018,49%
Q1 2018,46%
Q4 2017,45%
Q3 2017,44%
Q2 2017,47%
Q1 2017,52%
Q4 2016,46%
Q3 2016,45%
Q2 2016,50%
Q1 2016,49%
Q4 2015,51%
Q3 2015,48%
Q2 2015,40%
Q1 2015,45%
Q4 2014,41%
Q3 2014,40%
Q2 2014,46%
Q1 2014,50%
Q4 2013,42%
Q3 2013,53%
Q2 2013,49%
Q1 2013,40%
Q4 2012,38%
Q3 2012,42%
Q2 2012,33%
Q1 2012,39%
Q4 2011,45%
