Characteristic,"Propotion of patients per 100,000 inhabitants"
Tokyo,20.1
Ishikawa,14.1
Fukui,13.5
Osaka,12.2
Chiba,10.1
Fukuoka,9.4
Kyoto,9.1
Kochi,9.0
Hyogo,8.8
Saitama,8.0
Kanagawa,7.7
Toyama,7.7
Hokkaido,7.0
Okinawa,7.0
Gifu,6.8
Gunma,5.9
Yamanashi,5.7
Yamagata,5.4
Aichi,5.1
Shiga,4.8
Wakayama,4.8
Oita,4.8
Ibaraki,4.6
Hiroshima,4.4
Nara,4.2
Miyagi,3.4
Ehime,3.1
Fukushima,2.8
Kagawa,2.5
Niigata,2.4
Tochigi,2.3
Nagano,2.3
Shimane,2.2
Yamaguchi,2.2
Saga,2.0
Kumamoto,2.0
Aomori,1.8
Mie,1.8
Akita,1.7
Miyazaki,1.6
Shizuoka,1.4
Nagasaki,1.3
Okayama,1.0
Tokushima,0.4
Kagoshima,0.4
Tottori,0.2
Iwate,0.0
