Characteristic,Total value in million euros
France,1080.0
Spain,1040.0
Brazil,952.0
Germany,884.0
England,874.0
Belgium,756.0
Argentina,708.0
Portugal,465.5
Uruguay,367.5
Croatia,354.5
Senegal,290.2
Denmark,262.05
Poland,259.35
Colombia,256.35
Serbia,241.45
Switzerland,217.6
Egypt,196.88
Russia,161.83
Mexico,145.1
Nigeria,133.0
Morocco,122.75
Sweden,118.95
South Korea,84.53
Iceland,76.4
Japan,73.4
Tunisia,58.13
Australia,49.55
Iran,43.05
Costa Rica,42.08
Peru,37.5
Saudi Arabia,18.7
Panama,9.13
