Characteristic,Inhabitants per square kilometer
Barbados,666.61
Haiti,403.6
Puerto Rico,360.22
Grenada,327.81
El Salvador,309.88
Saint Lucia,298.18
Saint Vincent and the Grenadines,282.59
Jamaica,270.99
Trinidad and Tobago,270.93
Dominican Republic,219.98
Antigua and Barbuda,218.83
Saint Kitts and Nevis,201.7
Guatemala,160.95
Cuba,109.0
Costa Rica,97.91
Dominica,95.5
Honduras,85.69
Ecuador,68.79
Mexico,64.91
Panama,56.19
Nicaragua,53.73
Colombia,44.75
Bahamas,38.53
Venezuela,32.73
Regional average,31.01
Chile,25.19
Brazil,25.06
Peru,24.99
Uruguay,19.71
Paraguay,17.51
Belize,16.79
Argentina,16.26
Bolivia,10.48
Guyana,3.96
Suriname,3.69
