Characteristic,Gross domestic product in billion U.S. dollars
2026*,4.3
2025*,4.08
2024*,3.88
2023*,3.66
2022*,3.45
2021*,3.24
2020*,3.01
2019,2.97
2018,3.04
2017,3.17
2016,2.96
2015,3.26
2014,2.84
2013,2.58
2012,2.33
2011,2.24
2010,2.03
2009,1.78
2008,1.61
2007,1.36
2006,1.27
2005,1.12
2004,0.92
2003,0.79
2002,0.83
2001,0.88
2000,0.87
1999,0.87
1998,0.89
1997,0.97
1996,0.87
1995,1.0
1994,0.92
1993,0.94
1992,1.08
1991,1.17
1990,1.13
1989,1.13
1988,1.09
1987,1.16
1986,1.23
