Characteristic,Donor dependency rate
Americares Foundation,127%
Disabled American Veterans,111%
Teach for America,110%
Heart to Heart International,109%
American Cancer Society,108%
Doctors Without Borders USA,106%
American Jewish Joint Distribution Committee,105%
American Kidney Fund,105%
Humane Society of the United States,104%
Susan G. Komen,104%
Matthew 25: Ministries,104%
Alzheimer's Association,104%
Feed the Children,104%
Ronald McDonald House Charities,103%
PATH,102%
Wounded Warrior Project,102%
Christian Broadcasting Network & Operation Blessing,102%
Population Services International,101%
Marine Toys for Tots Foundation,101%
Catholic Relief Services,101%
Food for the Poor,101%
